YEAR,REGION,STATEFIP,COUNTY,METRO,ASECWT,AGE,SEX,RACE,OCC,UHRSWORK1,EDUC,SCHLCOLL,INCWAGE,OFFTOTVAL,POVERTY
2024,33,48,0,2,1898.77,80,1,100,0,999,40,0,0,91488,23
2024,31,13,0,3,3187.62,64,2,100,800,40,111,0,161000,294060,23
2024,12,36,0,4,2597.91,17,2,100,0,999,60,1,0,55002,23
2024,21,17,17119,3,1810.53,25,2,100,0,999,111,5,30000,43201,21
2024,31,37,37001,4,11338.34,45,1,100,6600,45,71,5,55000,65000,23
2024,21,18,0,2,4448.76,54,2,100,4230,999,123,5,12000,133000,23
2024,31,11,11001,2,419.87,41,1,100,410,28,81,5,45429,45460,23
2024,33,40,0,3,3311.47,40,1,100,4710,16,111,5,45000,143953,23
2024,42,6,6007,4,2336.91,77,2,651,0,999,123,0,0,205186,23
2024,32,47,0,1,1177.87,13,1,100,0,999,1,0,99999999,126963,23
2024,22,27,27123,3,2446.3,17,2,100,4030,997,60,1,2500,71279,23
2024,33,22,0,3,1310.81,2,2,200,0,999,1,0,99999999,104000,23
2024,41,32,0,2,2216.77,23,2,100,4055,36,81,5,2960,5260,10
2024,12,42,42081,4,2464.7,49,2,100,0,999,73,5,0,36000,23
2024,41,30,0,4,393.8,16,2,100,0,999,60,1,0,88024,23
2024,41,30,0,1,276.94,56,1,100,440,40,123,0,145000,142131,23
2024,41,56,0,4,268.89,33,2,100,3255,40,111,5,50000,82125,23
2024,33,48,0,2,5932.45,27,2,200,4020,36,73,5,15000,45033,23
2024,32,47,0,4,1279.94,11,1,100,0,999,1,0,99999999,155806,23
2024,41,49,0,3,958.18,66,2,100,0,999,81,0,0,53958,23
2024,12,42,42045,3,5798.98,33,1,100,0,999,73,5,0,999999,23
2024,42,53,0,3,3209.09,28,1,100,0,999,81,5,200,68738,23
2024,21,17,0,1,2272.05,24,2,100,20,30,73,5,15000,15000,10
2024,22,29,29099,3,2206.77,16,2,100,5240,35,40,1,1500,62905,23
2024,33,48,0,3,3101.27,12,2,801,0,999,1,0,99999999,200209,23
2024,33,48,0,2,2118.67,35,2,100,4810,40,91,5,90000,90201,23
2024,31,37,37191,4,1941.63,42,2,100,7810,40,20,5,7000,37822,10
2024,12,36,36069,3,4319.7,73,1,100,0,999,73,0,0,73584,23
2024,31,13,13057,3,2293.84,38,1,100,800,50,123,5,360000,378534,23
2024,42,6,0,3,2213.73,14,1,100,0,999,1,0,99999999,86400,23
2024,31,45,0,3,1390.96,62,1,200,0,999,73,0,20000,62679,23
2024,21,17,0,1,2077.61,73,2,100,0,999,73,0,0,37980,23
2024,22,27,0,1,1797.22,36,2,100,4510,30,91,5,55000,178961,23
2024,42,6,6053,2,2238.7,9,2,100,0,999,1,0,99999999,60000,22
2024,12,36,36085,2,4791.48,63,1,651,0,999,10,0,0,27000,21
2024,31,51,51087,3,5486.67,1,1,100,0,999,1,0,99999999,32500,10
2024,33,40,0,3,2505.16,22,2,300,5400,40,92,5,30000,545014,23
2024,41,32,32003,3,915.57,51,2,100,8300,40,20,5,20000,146025,23
2024,41,30,0,1,331.79,1,1,100,0,999,1,0,99999999,191100,23
2024,11,23,0,1,1428.04,42,2,100,0,999,111,5,0,15005,10
2024,31,51,51177,3,2937.31,50,1,100,2310,40,123,5,75000,605492,23
2024,33,48,0,3,4480.33,35,1,100,0,999,81,3,0,45000,23
2024,33,48,0,1,2919.29,76,2,100,0,999,81,0,0,58794,21
2024,42,15,0,1,750.1,80,2,100,0,999,92,0,0,46541,23
2024,22,38,0,4,509.28,80,1,100,0,999,81,0,18000,49710,23
2024,42,6,6099,2,1855.91,58,2,100,4230,40,81,0,110000,113000,23
2024,41,4,4013,2,2075.3,36,1,100,110,40,111,5,174000,223904,23
2024,31,45,0,3,2209.36,46,1,200,120,40,111,5,0,50153,23
2024,42,6,6037,3,2710.92,3,1,651,0,999,1,0,99999999,177000,23
2024,33,22,22071,2,3146.46,4,1,200,0,999,1,0,99999999,2000,10
2024,32,1,1097,2,2077.61,34,2,100,310,40,92,5,45000,108400,23
2024,21,39,0,3,9140.1,60,1,100,4251,40,73,0,0,0,10
2024,33,48,0,2,2526.96,36,2,100,8740,40,91,5,27040,27040,23
2024,33,48,0,3,2275.98,27,1,100,1545,40,92,5,110000,110101,23
2024,22,38,0,4,436.21,76,2,802,0,999,81,0,0,16564,21
2024,32,47,0,1,1917.12,40,1,100,8740,55,81,5,82000,95025,23
2024,41,16,0,2,680.69,5,1,100,0,999,1,0,99999999,769854,23
2024,31,45,0,4,3007.36,54,2,100,565,40,73,5,47000,92209,23
2024,33,22,0,1,748.77,69,2,200,0,999,73,0,0,1128,10
2024,42,6,6059,3,3509.23,74,2,100,0,999,81,0,0,171839,23
2024,31,12,12069,3,3513.46,16,1,200,0,999,50,1,0,75000,23
2024,12,42,42091,3,4712.57,70,2,100,0,999,92,0,0,90381,23
2024,21,26,0,1,5080.66,30,2,100,440,40,111,5,355000,357447,23
2024,22,38,0,1,542.31,36,1,200,410,30,81,5,11000,419233,23
2024,41,49,0,3,1356.59,13,1,100,0,999,1,0,99999999,78010,23
2024,21,17,17119,3,2761.14,43,1,100,9620,40,73,5,30000,43375,21
2024,22,46,0,4,449.42,4,2,100,0,999,1,0,99999999,55003,23
2024,42,53,0,1,3853.67,70,1,100,2400,20,111,0,20000,68457,23
2024,22,20,20173,2,2939.33,20,2,100,3603,40,81,5,36000,217519,23
2024,42,6,6019,3,2493.78,14,2,100,0,999,1,0,99999999,35000,10
2024,21,39,39113,3,4182.15,61,2,100,0,999,73,0,0,11640,10
2024,31,10,10001,4,1001.11,62,2,100,0,999,73,0,0,15288,10
2024,32,1,0,3,1684.53,42,2,200,4510,997,73,5,0,168545,23
2024,21,17,0,2,4458.01,37,2,100,310,40,73,5,12000,29540,21
2024,21,18,0,3,2486.11,13,1,100,0,999,1,0,99999999,85152,23
2024,31,54,0,4,431.49,13,2,100,0,999,1,0,99999999,78955,23
2024,32,21,21111,2,1955.09,22,1,100,7750,60,40,5,38700,38700,23
2024,11,25,25017,3,3202.69,27,1,100,2545,40,111,5,33000,404180,23
2024,12,36,36081,2,2937.01,9,1,100,0,999,1,0,99999999,142510,23
2024,31,12,12011,2,2301.3,33,2,100,440,40,73,5,15600,15600,10
2024,31,11,11001,2,389.36,64,2,200,0,999,60,0,0,26550,23
2024,22,46,0,1,587.09,16,1,100,7750,40,73,1,51000,151986,23
2024,41,16,0,1,1252.6,67,1,100,4220,4,123,0,3900,52802,23
2024,22,31,31055,2,1566.82,38,2,100,860,40,111,5,79000,83000,23
2024,12,36,36005,2,4937.29,42,2,100,0,999,81,5,0,6960,10
2024,11,25,25009,3,1311.35,35,2,100,5730,30,81,5,44400,86400,23
2024,33,22,0,3,939.58,68,2,200,0,999,60,0,0,33382,23
2024,42,6,0,3,1660.81,7,2,100,0,999,1,0,99999999,79000,23
2024,42,6,6001,2,1521.04,72,1,100,0,999,81,0,0,57190,23
2024,33,40,0,3,1165.25,66,2,300,3255,999,111,0,32000,64581,23
2024,42,15,0,1,518.27,7,2,652,0,999,1,0,99999999,33000,22
2024,31,12,0,3,2830.16,58,1,100,850,997,124,0,5000,176814,23
2024,11,44,0,2,1595.53,32,1,200,2004,38,123,3,230000,230140,23
2024,42,6,6059,2,4421.01,61,2,100,0,999,92,0,0,530204,23
2024,21,39,0,1,1789.39,35,1,651,2640,997,111,5,49000,341282,23
2024,31,13,0,1,2176.55,53,2,200,3110,999,123,5,0,79000,23
2024,41,32,0,2,2249.17,59,1,100,2320,45,123,0,105000,314985,23
2024,41,16,0,4,864.72,15,2,100,4600,15,60,0,10000,186858,23
2024,41,4,4013,2,5394.68,7,2,100,0,999,1,0,99999999,0,10
2024,31,12,12099,3,2389.08,31,2,100,4230,997,111,5,500,34500,10
2024,31,54,0,4,499.84,63,2,651,0,999,73,0,0,14699,10
2024,22,20,0,1,2011.03,65,1,100,0,999,73,0,0,68270,23
2024,31,45,45091,4,1977.61,39,1,200,52,40,123,5,95000,175455,23
2024,31,10,10003,4,447.37,30,2,100,0,999,10,5,0,59050,23
2024,11,23,23001,4,1594.26,57,2,100,5400,40,111,0,24000,86500,23
2024,41,35,0,1,619.09,53,1,100,1720,40,123,5,120000,219651,23
2024,41,35,0,1,657.45,3,1,100,0,999,1,0,99999999,44200,21
2024,31,54,54039,4,583.78,16,1,100,0,999,40,1,0,66562,22
2024,31,37,37119,2,1938.11,49,2,100,0,999,81,5,0,75003,23
2024,42,15,0,1,726.99,25,2,804,5120,30,73,5,17019,70367,23
2024,33,40,0,3,1219.81,39,2,100,2025,40,73,5,33200,40400,23
2024,21,18,0,1,1386.16,4,2,100,0,999,1,0,99999999,280576,23
2024,12,36,36047,2,2612.31,12,2,651,0,999,1,0,99999999,31220,21
2024,21,39,39095,2,3816.34,85,2,100,4000,999,81,0,17000,40448,23
2024,12,42,42091,3,3217.21,17,2,100,4720,999,60,1,0,204022,23
2024,11,44,0,2,567.18,47,2,100,440,42,111,5,40800,120882,23
2024,21,39,0,1,2418.41,5,2,100,0,999,1,0,99999999,148120,23
2024,22,20,0,1,1139.4,9,1,100,0,999,1,0,99999999,274007,23
2024,12,34,34031,3,2682.82,50,2,100,4230,60,81,5,110000,160800,23
2024,21,55,0,3,1564.18,12,2,100,0,999,1,0,99999999,194214,23
2024,31,11,11001,2,181.73,42,1,100,0,999,10,5,0,22200,10
2024,42,6,6075,2,5853.09,53,1,100,4140,30,50,5,28000,55000,23
2024,31,45,45051,4,2471.77,76,1,100,0,999,111,0,0,66661,23
2024,12,42,42107,1,5194.3,56,2,100,0,999,73,0,0,71995,23
2024,21,18,0,4,2677.71,48,2,100,4220,25,73,5,0,22020,21
2024,22,20,20091,2,1916.92,30,1,200,1108,40,111,5,81000,84300,23
2024,33,40,0,3,2736.85,35,2,100,310,40,111,5,80000,179296,23
2024,31,13,13117,3,2866.19,53,1,100,1460,40,111,5,190000,225357,23
2024,12,36,36061,2,2697.28,10,2,100,0,999,1,0,99999999,521659,23
2024,33,5,0,3,796.48,38,1,100,9620,40,73,5,28000,95000,23
2024,31,51,51041,3,2231.38,74,2,200,0,999,111,0,0,305199,23
2024,42,15,15003,2,431.31,66,2,652,4720,20,73,0,15000,31680,23
2024,32,28,0,3,1735.56,52,1,100,420,997,123,5,350000,353876,23
2024,11,33,0,1,1097.58,80,1,100,0,999,71,0,0,22081,23
2024,21,17,0,1,3191.33,67,1,100,0,999,111,0,0,54854,23
2024,32,47,0,2,2601.7,58,1,651,1650,40,125,0,65000,65000,23
