DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230514082,09/28/2023 12:00:00 AM,08/18/2023 12:00:00 AM,1800,5,Harbor,514,1,310,BURGLARY,0344 0358 1202 1601,63,F,B,221.0,PUBLIC STORAGE,,,IC,Invest Cont,310.0,,,,1200 W  PACIFIC COAST                HY,,33.7904,-118.2777
221311915,05/27/2022 12:00:00 AM,05/27/2022 12:00:00 AM,145,13,Newton,1373,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1407 1419 1822 1402 1309 0334 0430 0906,36,M,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,998.0,,,56TH                         ST,CENTRAL                      ST,33.9916,-118.2564
231017635,12/27/2023 12:00:00 AM,12/26/2023 12:00:00 AM,800,10,West Valley,1067,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0448 1822 0329,26,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,17400    VENTURA                      BL,,34.166,-118.5095
200211304,06/13/2020 12:00:00 AM,06/13/2020 12:00:00 AM,2300,2,Rampart,295,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 0416 0446 0319 2002 2033 0913,33,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,,,,1300    CONSTANCE                    ST,,34.0451,-118.2779
241206655,02/14/2024 12:00:00 AM,02/14/2024 12:00:00 AM,1600,12,77th Street,1208,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1309,53,F,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,600 W  VERNON                       AV,,34.0038,-118.2842
231110016,06/11/2023 12:00:00 AM,02/24/2023 12:00:00 AM,930,11,Northeast,1115,2,354,THEFT OF IDENTITY,0930 1822,37,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,4800    ALGOMA                       AV,,34.1333,-118.2055
230313564,07/12/2023 12:00:00 AM,07/12/2023 12:00:00 AM,2040,3,Southwest,396,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0910 0431 1822,41,M,H,801.0,MTA BUS,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,,,,BUDLONG,VERMONT,34.0073,-118.2894
230122269,10/19/2023 12:00:00 AM,10/19/2023 12:00:00 AM,2000,1,Central,134,1,330,BURGLARY FROM VEHICLE,0344 1307,62,M,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,300 S  BROADWAY,,34.051,-118.248
201305956,02/04/2020 12:00:00 AM,02/03/2020 12:00:00 AM,2135,13,Newton,1361,1,310,BURGLARY,1607 0329 0344 0397 0358,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,,,,4400 S  BROADWAY,,34.0038,-118.2783
231310589,05/12/2023 12:00:00 AM,05/11/2023 12:00:00 AM,1400,13,Newton,1353,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,VERNON                       AV,MCKINLEY                     AV,34.0039,-118.2609
